NPA,NXX,ESRD,Company,OCN,Status,Remarks
705,511,5800 - 5899,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,5900 - 5999,Rogers Communications Canada Inc. (Wireless),8821,In Service,
705,511,6000 - 6099,TELUS Mobility,8303,In Service,
705,511,6100 - 6199,TELUS Mobility,8303,In Service,
705,511,6200 - 6299,TELUS Mobility,8303,In Service,
705,511,6300 - 6399,TELUS Mobility,8303,In Service,
705,511,6400 - 6499,TELUS Mobility,8303,In Service,
705,511,6500 - 6599,TELUS Mobility,8303,In Service,
705,511,6600 - 6699,TELUS Mobility,8303,In Service,
705,511,6700 - 6799,TELUS Mobility,8303,In Service,
705,511,6800 - 6899,TELUS Mobility,8303,In Service,
705,511,6900 - 6999,TELUS Mobility,8303,In Service,
705,511,7000 - 7099,TELUS Mobility,8303,In Service,
705,511,7100 - 7199,TELUS Mobility,8303,In Service,
705,511,7200 - 7299,TELUS Mobility,8303,In Service,
705,511,7300 - 7399,TELUS Mobility,8303,In Service,
705,511,7400 - 7499,TELUS Mobility,8303,In Service,
705,511,7500 - 7599,TELUS Mobility,8303,In Service,
705,511,7600 - 7699,TELUS Mobility,8303,In Service,
705,511,7700 - 7799,TELUS Mobility,8303,In Service,
705,511,7800 - 7899,TELUS Mobility,8303,In Service,
705,511,7900 - 7999,TELUS Mobility,8303,In Service,
705,511,8000 - 8099,TELUS Mobility,8303,In Service,
705,511,8100 - 8199,TELUS Mobility,8303,In Service,
705,511,8200 - 8299,TELUS Mobility,8303,In Service,
705,511,8300 - 8399,TELUS Mobility,8303,In Service,
705,511,8400 - 8499,TELUS Mobility,8303,In Service,
705,511,8500 - 8599,TELUS Mobility,8303,In Service,
705,511,8600 - 8699,TELUS Mobility,8303,In Service,
705,511,8700 - 8799,TELUS Mobility,8303,In Service,
705,511,8800 - 8899,TELUS Mobility,8303,In Service,
705,511,8900 - 8999,TELUS Mobility,8303,In Service,
705,511,9000 - 9099,TELUS Mobility,8301,In Service,
705,511,9100 - 9199,TELUS Mobility,8301,In Service,
705,511,9200 - 9299,TELUS Mobility,8301,In Service,
705,511,9300 - 9399,TELUS Mobility,8301,In Service,
705,511,9400 - 9499,TELUS Mobility,8301,In Service,
705,511,9500 - 9599,TELUS Mobility,8301,In Service,
705,511,9600 - 9699,TELUS Mobility,8301,In Service,
705,511,9700 - 9799,TELUS Mobility,8301,In Service,
705,511,9800 - 9899,TELUS Mobility,8301,In Service,
705,511,9900 - 9999,TELUS Mobility,8301,In Service,
